Scientific Name|Common Name|# of States 2005|States 2005|# of States 2015|States 2015|Taxonomic Group
Antrozous pallidus|pallid bat|6|California,Kansas,Montana,Oregon,Texas,Wyoming|5|California,Kansas,Oregon,Texas,Wyoming|Mammals
Bison bison|American bison|7|Alabama,Alaska,Colorado,Missouri,Montana,North Carolina,Ohio|5|Alabama,Colorado,Montana,Texas,Utah|Mammals
Corynorhinus townsendii virginianus|Virginia big-eared bat|5|Kentucky,North Carolina,Tennessee,Virginia,West Virginia|5|Kentucky,North Carolina,Tennessee,Virginia,West Virginia|Mammals
Globicephala macrorhynchus|Short-finned Pilot Whale|5|American Samoa,Guam,Hawaii,Puerto Rico,Texas|5|American Samoa,Guam,Hawaii,New Jersey,Texas|Mammals
Kogia sima|Dwarf Sperm Whale|5|Florida,Guam,Hawaii,South Carolina,Texas|5|American Samoa,Guam,Hawaii,South Carolina,Texas|Mammals
Lasiurus intermedius|northern yellow bat|6|Alabama,Florida,Georgia,Mississippi,North Carolina,South Carolina|5|Alabama,Georgia,Mississippi,North Carolina,South Carolina|Mammals
Lasiurus seminolus|Seminole bat|5|Arkansas,Florida,Missouri,North Carolina,Oklahoma|5|Florida,Maryland,Oklahoma,South Carolina,West Virginia|Mammals
Lepus americanus|Snowshoe Hare|6|Maryland,Michigan,North Carolina,Ohio,Tennessee,Virginia|5|Alaska,Colorado,Ohio,Vermont,West Virginia|Mammals
Myodes gapperi|Southern Red-backed Vole|7|Alaska,Connecticut,Iowa,Kentucky,Michigan,Ohio,South Carolina|5|Arizona,Colorado,Connecticut,Kentucky,Ohio|Mammals
Myotis evotis|long-eared myotis|4|California,Nevada,North Dakota,Wyoming|5|Arizona,California,Nevada,North Dakota,Wyoming|Mammals
Perognathus flavescens|Plains Pocket Mouse|5|Iowa,Minnesota,Missouri,North Dakota,Wyoming|5|Iowa,Minnesota,Missouri,North Dakota,Wyoming|Mammals
Sorex cinereus|common shrew|7|Georgia,Kentucky,North Carolina,Ohio,South Carolina,Tennessee,Vermont|5|Kentucky,New Jersey,South Carolina,Tennessee,Vermont|Mammals
Sorex merriami|Merriam's Shrew|7|Arizona,Idaho,Montana,Nebraska,Nevada,Utah,Washington|5|Arizona,Nebraska,Nevada,North Dakota,Washington|Mammals
Sorex preblei|malheur shrew|7|Colorado,Montana,Nevada,New Mexico,Utah,Washington,Wyoming|5|Colorado,Nevada,Utah,Washington,Wyoming|Mammals
Tamias striatus|Eastern Chipmunk|4|District of Columbia,Florida,Nebraska,Ohio|5|District of Columbia,Florida,Louisiana,Nebraska,Ohio|Mammals
Urocyon cinereoargenteus|Gray Fox|6|District of Columbia,Illinois,Iowa,Kansas,Ohio,Vermont|5|District of Columbia,Iowa,Kansas,North Dakota,Vermont|Mammals
